GSE,GSM,age,sex
GSE56033,GSM1351184,40,M
GSE56033,GSM1351185,44,F
GSE56033,GSM1351186,53,F
GSE56033,GSM1351187,54,F
GSE56033,GSM1351188,54,F
GSE56033,GSM1351189,25,M
GSE56033,GSM1351190,54,M
GSE56033,GSM1351191,50,M
GSE56033,GSM1351192,20,M
GSE56033,GSM1351193,31,F
GSE56033,GSM1351194,32,F
GSE56033,GSM1351195,22,F
GSE56033,GSM1351196,39,F
GSE56033,GSM1351197,27,F
GSE56033,GSM1351198,27,F
GSE56033,GSM1351199,21,M
GSE56033,GSM1351200,21,F
GSE56033,GSM1351201,30,F
GSE56033,GSM1351202,42,M
GSE56033,GSM1351203,26,F
GSE56033,GSM1351204,42,M
GSE56033,GSM1351205,42,M
GSE56033,GSM1351206,26,F
GSE56033,GSM1351207,28,F
GSE56033,GSM1351208,26,F
GSE56033,GSM1351209,27,F
GSE56033,GSM1351210,26,F
GSE56033,GSM1351211,25,F
GSE56033,GSM1351212,36,F
GSE56033,GSM1351213,33,F
GSE56033,GSM1351214,28,M
GSE56033,GSM1351215,32,M
GSE56033,GSM1351216,24,M
GSE56033,GSM1351217,51,M
GSE56033,GSM1351218,26,M
GSE56033,GSM1351219,36,F
GSE56033,GSM1351220,30,F
GSE56033,GSM1351221,29,F
GSE56033,GSM1351222,27,F
GSE56033,GSM1351223,27,F
GSE56033,GSM1351224,29,F
GSE56033,GSM1351225,29,F
GSE56033,GSM1351226,29,M
GSE56033,GSM1351227,46,M
GSE56033,GSM1351228,19,F
GSE56033,GSM1351229,21,F
GSE56033,GSM1351230,23,F
GSE56033,GSM1351231,20,F
GSE56033,GSM1351232,32,M
GSE56033,GSM1351233,29,F
GSE56033,GSM1351234,49,M
GSE56033,GSM1351235,33,M
GSE56033,GSM1351236,45,F
GSE56033,GSM1351237,47,M
GSE56033,GSM1351238,32,F
GSE56033,GSM1351239,25,F
GSE56033,GSM1351240,34,M
GSE56033,GSM1351241,25,F
GSE56033,GSM1351242,49,M
GSE56033,GSM1351243,38,M
GSE56033,GSM1351244,49,F
GSE56033,GSM1351245,19,F
GSE56033,GSM1351246,34,M
GSE56033,GSM1351247,48,M
GSE56033,GSM1351248,22,M
GSE56033,GSM1351249,31,F
GSE56033,GSM1351250,30,F
GSE56033,GSM1351251,26,F
GSE56033,GSM1351252,30,M
GSE56033,GSM1351253,25,F
GSE56033,GSM1351254,52,F
GSE56033,GSM1351255,35,F
GSE56033,GSM1351256,30,M
GSE56033,GSM1351257,30,M
GSE56033,GSM1351258,29,F
GSE56033,GSM1351259,27,F
GSE56033,GSM1351260,25,F
GSE56033,GSM1351261,48,M
GSE56033,GSM1351262,24,F
GSE56033,GSM1351263,34,F
GSE56033,GSM1351264,33,M
GSE56033,GSM1351265,28,F
GSE56033,GSM1351266,51,M
GSE56033,GSM1351267,37,M
GSE56033,GSM1351268,51,M
GSE56033,GSM1351269,34,F
GSE56033,GSM1351270,23,M
GSE56033,GSM1351271,47,M
GSE56033,GSM1351272,34,M
GSE56033,GSM1351273,34,F
GSE56033,GSM1351274,30,F
GSE56033,GSM1351275,32,M
GSE56033,GSM1351276,46,F
GSE56033,GSM1351277,29,M
GSE56033,GSM1351278,29,F
GSE56033,GSM1351279,28,F
GSE56033,GSM1351280,41,M
GSE56033,GSM1351281,50,M
GSE56033,GSM1351282,32,F
GSE56033,GSM1351283,21,M
GSE56033,GSM1351284,26,F
GSE56033,GSM1351285,25,M
GSE56033,GSM1351286,47,M
GSE56033,GSM1351287,21,F
GSE56033,GSM1351288,20,F
GSE56033,GSM1351289,21,F
GSE56033,GSM1351290,28,M
GSE56033,GSM1351291,28,F
GSE56033,GSM1351292,44,F
GSE56033,GSM1351293,32,M
GSE56033,GSM1351294,42,F
GSE56033,GSM1351295,24,M
GSE56033,GSM1351296,23,F
GSE56033,GSM1351297,20,M
GSE56033,GSM1351298,20,M
GSE56033,GSM1351299,21,F
GSE56033,GSM1351300,32,F
GSE56033,GSM1351301,18,M
GSE56033,GSM1351302,19,F
GSE56033,GSM1351303,42,M
GSE56033,GSM1351304,40,F
GSE56033,GSM1351305,21,F
GSE56033,GSM1351306,33,F
GSE56033,GSM1351307,46,F
GSE56033,GSM1351308,46,F
GSE56033,GSM1355819,38,M
GSE56033,GSM1355820,42,M
