"GSE","GSM","age","sex"
"GSE56033","GSM1351101",25,"F"
"GSE56033","GSM1351102",50,"M"
"GSE56033","GSM1351103",28,"F"
"GSE56033","GSM1351104",23,"F"
"GSE56033","GSM1351105",23,"F"
"GSE56033","GSM1351106",33,"M"
"GSE56033","GSM1351107",27,"M"
"GSE56033","GSM1351108",47,"M"
"GSE56033","GSM1351109",23,"F"
"GSE56033","GSM1351110",21,"M"
"GSE56033","GSM1351111",22,"F"
"GSE56033","GSM1351112",34,"F"
"GSE56033","GSM1351113",23,"F"
"GSE56033","GSM1351114",25,"F"
"GSE56033","GSM1351115",25,"F"
"GSE56033","GSM1351116",38,"M"
"GSE56033","GSM1351117",22,"F"
"GSE56033","GSM1351118",22,"F"
"GSE56033","GSM1351119",38,"F"
"GSE56033","GSM1351120",22,"M"
"GSE56033","GSM1351121",19,"F"
"GSE56033","GSM1351122",28,"M"
"GSE56033","GSM1351123",28,"F"
"GSE56033","GSM1351124",22,"F"
"GSE56033","GSM1351125",22,"F"
"GSE56033","GSM1351126",30,"F"
"GSE56033","GSM1351127",30,"F"
"GSE56033","GSM1351128",27,"M"
"GSE56033","GSM1351129",50,"F"
"GSE56033","GSM1351130",19,"F"
"GSE56033","GSM1351131",28,"F"
"GSE56033","GSM1351132",28,"F"
"GSE56033","GSM1351133",32,"F"
"GSE56033","GSM1351134",25,"F"
"GSE56033","GSM1351135",25,"F"
"GSE56033","GSM1351136",19,"M"
"GSE56033","GSM1351137",24,"M"
"GSE56033","GSM1351138",24,"F"
"GSE56033","GSM1351139",31,"F"
"GSE56033","GSM1351140",31,"F"
"GSE56033","GSM1351141",56,"F"
"GSE56033","GSM1351142",50,"M"
"GSE56033","GSM1351143",35,"F"
"GSE56033","GSM1351144",20,"M"
"GSE56033","GSM1351145",22,"F"
"GSE56033","GSM1351146",22,"M"
"GSE56033","GSM1351147",24,"F"
"GSE56033","GSM1351148",48,"F"
"GSE56033","GSM1351149",9,"M"
"GSE56033","GSM1351150",30,"F"
"GSE56033","GSM1351151",21,"F"
"GSE56033","GSM1351152",24,"M"
"GSE56033","GSM1351153",20,"F"
"GSE56033","GSM1351154",21,"F"
"GSE56033","GSM1351155",26,"F"
"GSE56033","GSM1351156",26,"F"
"GSE56033","GSM1351157",45,"F"
"GSE56033","GSM1351158",28,"F"
"GSE56033","GSM1351159",39,"M"
"GSE56033","GSM1351160",21,"F"
"GSE56033","GSM1351161",22,"F"
"GSE56033","GSM1351162",21,"M"
"GSE56033","GSM1351163",24,"F"
"GSE56033","GSM1351164",26,"M"
"GSE56033","GSM1351165",27,"M"
"GSE56033","GSM1351166",47,"M"
"GSE56033","GSM1351167",24,"M"
"GSE56033","GSM1351168",39,"M"
"GSE56033","GSM1351169",28,"F"
"GSE56033","GSM1351170",39,"F"
"GSE56033","GSM1351171",28,"F"
"GSE56033","GSM1351172",28,"F"
"GSE56033","GSM1351173",26,"M"
"GSE56033","GSM1351174",28,"F"
"GSE56033","GSM1351175",23,"M"
"GSE56033","GSM1351176",53,"M"
"GSE56033","GSM1351177",48,"F"
"GSE56033","GSM1351178",38,"F"
"GSE56033","GSM1351179",35,"M"
"GSE56033","GSM1351180",37,"F"
"GSE56033","GSM1351181",51,"F"
"GSE56033","GSM1351182",51,"F"
"GSE56033","GSM1351183",40,"M"
"GSE56033","GSM1351184",40,"M"
"GSE56033","GSM1351185",44,"F"
"GSE56033","GSM1351186",53,"F"
"GSE56033","GSM1351187",54,"F"
"GSE56033","GSM1351188",54,"F"
"GSE56033","GSM1351189",25,"M"
"GSE56033","GSM1351190",54,"M"
"GSE56033","GSM1351191",50,"M"
"GSE56033","GSM1351192",20,"M"
"GSE56033","GSM1351193",31,"F"
"GSE56033","GSM1351194",32,"F"
"GSE56033","GSM1351195",22,"F"
"GSE56033","GSM1351196",39,"F"
"GSE56033","GSM1351197",27,"F"
"GSE56033","GSM1351198",27,"F"
"GSE56033","GSM1351199",21,"M"
"GSE56033","GSM1351200",21,"F"
"GSE56033","GSM1351201",30,"F"
"GSE56033","GSM1351202",42,"M"
"GSE56033","GSM1351203",26,"F"
"GSE56033","GSM1351204",42,"M"
"GSE56033","GSM1351205",42,"M"
"GSE56033","GSM1351206",26,"F"
"GSE56033","GSM1351207",28,"F"
"GSE56033","GSM1351208",26,"F"
"GSE56033","GSM1351209",27,"F"
"GSE56033","GSM1351210",26,"F"
"GSE56033","GSM1351211",25,"F"
"GSE56033","GSM1351212",36,"F"
"GSE56033","GSM1351213",33,"F"
"GSE56033","GSM1351214",28,"M"
"GSE56033","GSM1351215",32,"M"
"GSE56033","GSM1351216",24,"M"
"GSE56033","GSM1351217",51,"M"
"GSE56033","GSM1351218",26,"M"
"GSE56033","GSM1351219",36,"F"
"GSE56033","GSM1351220",30,"F"
"GSE56033","GSM1351221",29,"F"
"GSE56033","GSM1351222",27,"F"
"GSE56033","GSM1351223",27,"F"
"GSE56033","GSM1351224",29,"F"
"GSE56033","GSM1351225",29,"F"
"GSE56033","GSM1351226",29,"M"
"GSE56033","GSM1351227",46,"M"
"GSE56033","GSM1351228",19,"F"
"GSE56033","GSM1351229",21,"F"
"GSE56033","GSM1351230",23,"F"
"GSE56033","GSM1351231",20,"F"
"GSE56033","GSM1351232",32,"M"
"GSE56033","GSM1351233",29,"F"
"GSE56033","GSM1351234",49,"M"
"GSE56033","GSM1351235",33,"M"
"GSE56033","GSM1351236",45,"F"
"GSE56033","GSM1351237",47,"M"
"GSE56033","GSM1351238",32,"F"
"GSE56033","GSM1351239",25,"F"
"GSE56033","GSM1351240",34,"M"
"GSE56033","GSM1351241",25,"F"
"GSE56033","GSM1351242",49,"M"
"GSE56033","GSM1351243",38,"M"
"GSE56033","GSM1351244",49,"F"
"GSE56033","GSM1351245",19,"F"
"GSE56033","GSM1351246",34,"M"
"GSE56033","GSM1351247",48,"M"
"GSE56033","GSM1351248",22,"M"
"GSE56033","GSM1351249",31,"F"
"GSE56033","GSM1351250",30,"F"
"GSE56033","GSM1351251",26,"F"
"GSE56033","GSM1351252",30,"M"
"GSE56033","GSM1351253",25,"F"
"GSE56033","GSM1351254",52,"F"
"GSE56033","GSM1351255",35,"F"
"GSE56033","GSM1351256",30,"M"
"GSE56033","GSM1351257",30,"M"
"GSE56033","GSM1351258",29,"F"
"GSE56033","GSM1351259",27,"F"
"GSE56033","GSM1351260",25,"F"
"GSE56033","GSM1351261",48,"M"
